Name,Ticker,Date,Actual,Estimate
Agilent Technologies Inc,A,2019-02-20,0.76,0.731
American Airlines Group Inc,AAL,2019-04-26,0.52,0.506
Advance Auto Parts Inc,AAP,2019-02-19,1.17,1.13
Apple Inc,AAPL,2019-04-30,2.46,2.368
AbbVie Inc,ABBV,2019-04-25,2.14,2.059
AmerisourceBergen Corp,ABC,2019-05-02,2.11,1.955
ABIOMED Inc,ABMD,2019-05-02,1.07,1.084
Abbott Laboratories,ABT,2019-04-17,0.63,0.613
Accenture PLC,ACN,2019-03-28,1.73,1.573
Adobe Inc,ADBE,2019-03-14,1.71,1.616
Analog Devices Inc,ADI,2019-02-20,1.33,1.282
Archer-Daniels-Midland Co,ADM,2019-04-26,0.46,0.595
Automatic Data Processing Inc,ADP,2019-05-01,1.77,1.685
Alliance Data Systems Corp,ADS,2019-04-25,3.72,4.05
Autodesk Inc,ADSK,2019-02-28,0.23,0.421
Ameren Corp,AEE,2019-05-09,0.78,0.681
American Electric Power Co Inc,AEP,2019-04-25,1.19,1.111
AES Corp/VA,AES,2019-02-27,0.36,0.325
Aflac Inc,AFL,2019-04-25,1.13,1.059
Allergan PLC,AGN,2019-05-07,3.79,3.553
American International Group I,AIG,2019-05-06,1.58,1.052
Apartment Investment & Managem,AIV,2019-05-02,0.61,0.601
Assurant Inc,AIZ,2019-05-06,2.33,2.153
Arthur J Gallagher & Co,AJG,2019-04-25,1.63,1.609
Akamai Technologies Inc,AKAM,2019-04-30,1.1,1.019
Albemarle Corp,ALB,2019-05-08,1.23,1.273
Align Technology Inc,ALGN,2019-04-24,0.89,0.825
Alaska Air Group Inc,ALK,2019-04-25,0.17,0.151
Allstate Corp/The,ALL,2019-05-01,2.3,2.252
Allegion PLC,ALLE,2019-04-25,0.88,0.866
Alexion Pharmaceuticals Inc,ALXN,2019-04-25,2.39,2.211
Applied Materials Inc,AMAT,2019-02-14,0.81,0.788
Amcor PLC,AMCR,2019-02-11,0.23,0.283
Advanced Micro Devices Inc,AMD,2019-04-30,0.06,0.054
AMETEK Inc,AME,2019-05-01,1,0.969
Affiliated Managers Group Inc,AMG,2019-05-06,3.26,3.261
Amgen Inc,AMGN,2019-04-30,3.56,3.469
Ameriprise Financial Inc,AMP,2019-04-24,3.75,3.631
American Tower Corp,AMT,2019-02-27,2.26,2.283
Amazon.com Inc,AMZN,2019-04-25,7.09,4.667
Arista Networks Inc,ANET,2019-05-02,2.31,2.07
ANSYS Inc,ANSS,2019-05-01,1.29,1.091
Anthem Inc,ANTM,2019-04-24,6.03,5.84
Aon PLC,AON,2019-04-26,3.31,3.302
AO Smith Corp,AOS,2019-04-30,0.53,0.573
Apache Corp,APA,2019-05-01,0.1,0.127
Air Products & Chemicals Inc,APD,2019-04-24,1.92,1.869
Amphenol Corp,APH,2019-04-24,0.89,0.881
Aptiv PLC,APTV,2019-05-02,1.05,1.007
Alexandria Real Estate Equitie,ARE,2019-04-29,1.71,1.682
Arconic Inc,ARNC,2019-04-30,0.43,0.387
Atmos Energy Corp,ATO,2019-05-07,1.82,1.686
Activision Blizzard Inc,ATVI,2019-05-02,0.31,0.257
AvalonBay Communities Inc,AVB,2019-04-24,2.3,2.286
Broadcom Inc,AVGO,2019-03-14,5.55,5.231
Avery Dennison Corp,AVY,2019-04-24,1.48,1.455
American Water Works Co Inc,AWK,2019-05-01,0.62,0.632
American Express Co,AXP,2019-04-18,2.01,1.986
AutoZone Inc,AZO,2019-02-26,11.49,10.062
Boeing Co/The,BA,2019-04-24,3.16,3.251
Bank of America Corp,BAC,2019-04-16,0.71,0.656
Baxter International Inc,BAX,2019-04-25,0.76,0.681
BB&T Corp,BBT,2019-04-18,1.05,1.03
Best Buy Co Inc,BBY,2019-02-27,2.72,2.563
Becton Dickinson and Co,BDX,2019-05-09,2.59,2.577
Franklin Resources Inc,BEN,2019-04-26,0.72,0.623
Brown-Forman Corp,BF-B,2019-03-06,0.47,0.449
Biogen Inc,BIIB,2019-04-24,6.98,6.994
Bank of New York Mellon Corp/T,BK,2019-04-17,0.94,0.958
Booking Holdings Inc,BKNG,2019-02-27,22.49,19.388
Baker Hughes Co,BKR,2019-04-30,0.15,0.133
